story_id,selection_genre,audit_bucket,audit_features,token_key,sentence_index,token_index,global_token_index,text,lemma,machine_upos,context,gold_upos,notes
mass_quantities/long_odds__haggard,adventure,NOUN,noun_verb_ambiguous,mass_quantities/long_odds__haggard#g347,11,12,347,house,house,NOUN,"It was on the last evening of my stay at his house that he told the ensuing story to me and Captain Good, who was dining with him.",,
mass_quantities/long_odds__haggard,adventure,NOUN,contraction_or_possessive,mass_quantities/long_odds__haggard#g2196,72,9,2196,o'clock,o'clock,NOUN,"""I had trekked from dawn till eleven o'clock--a long trek--but I wanted to get on, and had turned the oxen out to graze, sending the voorlooper to look after them, my intention being to inspan again about six o'clock, and trek with the moon",,
mass_quantities/long_odds__haggard,adventure,NOUN,contraction_or_possessive,mass_quantities/long_odds__haggard#g2237,72,50,2237,o'clock,o'clock,NOUN,"""I had trekked from dawn till eleven o'clock--a long trek--but I wanted to get on, and had turned the oxen out to graze, sending the voorlooper to look after them, my intention being to inspan again about six o'clock, and trek with the moon",,
mass_quantities/long_odds__haggard,adventure,NOUN,archaic_candidate,mass_quantities/long_odds__haggard#g5545,175,29,5545,birth,birth,NOUN,"So I told Tom that he need not come unless he liked, but I was going; and being a plucky fellow, a Swazi by birth, he shrugged his shoulders, muttered that I was mad or bewitched, and followed doggedly in my tracks.",,
mass_quantities/the_red_fetish__long,adventure,NOUN,"contraction_or_possessive,hyphenated",mass_quantities/the_red_fetish__long#g847,52,11,847,thirst'--_he,thirst'--_he,NOUN,"I thought: 'This thirst--this dreadful thirst'--_he_ would put an end to it!"" Van Wyck shivered, and tears ran down his face and dampened his brittle red beard.",,
mass_quantities/to_the_lights__norton,adventure,NOUN,hyphenated,mass_quantities/to_the_lights__norton#g5148,213,9,5148,air--,air--,NOUN,"Thrown, he was--all in the air-- thrown like a dead fish--by they winchbars!” Captain Josh lunged to the port side, clung to the rail and stared outward, releasing his hold only to brush away the trickle of blood that again troublesomely ob",,
mass_quantities/to_the_lights__norton,adventure,NOUN,ordinary,mass_quantities/to_the_lights__norton#g7022,311,27,7022,abatement,abatement,NOUN,"For an hour she half fought, half fled with that nearly motionless figure steering her, and yet the storm showed no signs of abatement.",,
mass_quantities/to_the_lights__norton,adventure,NOUN,"proper_name_candidate,archaic_candidate",mass_quantities/to_the_lights__norton#g9452,418,3,9452,Death,death,NOUN,"Where is Death’s sting; where, grave, thy victory?",,
mass_quantities/long_odds__haggard,adventure,OTHER,ordinary,mass_quantities/long_odds__haggard#g135,5,5,135,a,a,DET,"He is persuaded that a white people, of which he has heard rumours all his life, exists somewhere on the highlands in the vast, still unexplored interior, and his great ambition is to find them before he dies.",,
mass_quantities/long_odds__haggard,adventure,OTHER,archaic_candidate,mass_quantities/long_odds__haggard#g646,20,5,646,beneath,beneath,ADP,"he said, stopping beneath an unusually large skull of a lion, which was fixed just over the mantelpiece, beneath a long row of guns, its jaws distended to their utmost width.",,
mass_quantities/the_adventure_of_elizabeth_morey_of_new_york_1901__becke,adventure,OTHER,"proper_name_candidate,hyphenated",mass_quantities/the_adventure_of_elizabeth_morey_of_new_york_1901__becke#g3998,105,25,3998,English--,english--,NUM,"The flotilla brought to within pistol-shot of the ship, and the woman stood up and called to him in English-- ""Come on shore and see the captain.",,
mass_quantities/the_red_fetish__long,adventure,OTHER,noun_verb_ambiguous,mass_quantities/the_red_fetish__long#g1517,98,2,1517,light,light,ADJ,A light wind furred the steel-gray sea with tiny ripples.,,
mass_quantities/the_red_fetish__long,adventure,OTHER,contraction_or_possessive,mass_quantities/the_red_fetish__long#g3112,206,6,3112,'em,them,PRON,"There are hundreds of 'em!""",,
mass_quantities/the_red_fetish__long,adventure,OTHER,contraction_or_possessive,mass_quantities/the_red_fetish__long#g3324,224,9,3324,'em,them,PRON,"""If we only had something to give 'em,"" he groaned.",,
mass_quantities/to_the_lights__norton,adventure,OTHER,hyphenated,mass_quantities/to_the_lights__norton#g1409,58,18,1409,and--,and--,NUM,"And us has got all this, and I be good for ten years more, and--” Again he stopped, scratched his white head with his fingers, seemed distracted, and worried, and ended with: “And so what the hell’s there to bother about?",,
mass_quantities/to_the_lights__norton,adventure,OTHER,hyphenated,mass_quantities/to_the_lights__norton#g2065,86,51,2065,and--,and--,NUM,"Wouldn’t you like it?” “I’d like it, all right, John,” said the skipper, “but what with bad catches and bad markets, and that fool experiment with motors, I haven’t the money, and--” The ship-chandler laughed as if immensely amused.",,
mass_quantities/long_odds__haggard,adventure,PROPN,"proper_name_candidate,contraction_or_possessive",mass_quantities/long_odds__haggard#g1952,63,20,1952,T'Chaka,T'Chaka,PROPN,"She could talk Zulu--indeed, it turned out that she had run away from Zululand in T'Chaka's time--and she told me that all the people whom I had seen had died of fever.",,
mass_quantities/long_odds__haggard,adventure,PROPN,"proper_name_candidate,noun_verb_ambiguous",mass_quantities/long_odds__haggard#g7311,235,23,7311,House,House,PROPN,"There he stood lashing his tail, just like a living reproduction of the animal on the gateway of Northumberland House that I have seen in a picture.",,
mass_quantities/the_adventure_of_elizabeth_morey_of_new_york_1901__becke,adventure,PROPN,"proper_name_candidate,archaic_candidate",mass_quantities/the_adventure_of_elizabeth_morey_of_new_york_1901__becke#g215,5,63,215,Elizabeth,Elizabeth,PROPN,"As soon as she had been boarded by the naval officer in charge of the port, and her papers examined, the master stated that he had had a very exciting adventure with the Tongatabu natives, who had attempted to cut off the ship, and that the",,
mass_quantities/the_adventure_of_elizabeth_morey_of_new_york_1901__becke,adventure,PROPN,"proper_name_candidate,archaic_candidate",mass_quantities/the_adventure_of_elizabeth_morey_of_new_york_1901__becke#g1107,27,24,1107,cloth,cloth,PROPN,"Within a couple of hours the smaller of the two boats returned, loaded with yams, ""gnatu"" (tappa cloth), baked pigs, and fish.",,
mass_quantities/the_seven_missionaries__mcneile,adventure,PROPN,"proper_name_candidate,hyphenated",mass_quantities/the_seven_missionaries__mcneile#g4021,198,7,4021,cigar--“if,cigar--“if,PROPN,"But if”--he drew deeply at his cigar--“if, Dick, it was not sent by a genuine parson, but by someone who wished to pose as the driveling idiot curate of fiction, why, my opinion of the brains of the church remains at par.” “Look here,” I sa",,
mass_quantities/the_spring_of_a_lion__haggard,adventure,PROPN,"proper_name_candidate,contraction_or_possessive",mass_quantities/the_spring_of_a_lion__haggard#g1990,62,21,1990,T'Chaka,T'Chaka,PROPN,"She could talk Zulu--indeed, it turned out that she had run away from Zululand in T'Chaka's time--and she told me that all the people that I had seen had died of fever.",,
mass_quantities/the_spring_of_a_lion__haggard,adventure,PROPN,"proper_name_candidate,noun_verb_ambiguous",mass_quantities/the_spring_of_a_lion__haggard#g7511,231,23,7511,House,House,PROPN,"There he stood, lashing his tail, just like a statue of the animal on the gateway of Northumberland House that I have seen a picture of.",,
mass_quantities/to_the_lights__norton,adventure,PROPN,"proper_name_candidate,hyphenated",mass_quantities/to_the_lights__norton#g2175,92,30,2175,"home,--“they’ll","home,--“they’ll",PROPN,"When my time comes, those up there on the hill--you know,”--and he jerked a heavy thumb over his shoulder in the direction of his home,--“they’ll have no debts of mine to meet.",,
anderson/bell,fantasy,NOUN,noun_verb_ambiguous,anderson/bell#g1247,34,7,1247,house,house,NOUN,"They afterwards came to a little house, made of branches and the bark of trees; a large wild apple-tree bent over it, as if it would shower down all its blessings on the roof, where roses were blooming.",,
anderson/dream_of_little_tuk,fantasy,NOUN,noun_verb_ambiguous,anderson/dream_of_little_tuk#g852,32,11,852,house,house,NOUN,"Some hundred paces from it lies the manor-house Ny Soe, where Thorwaldsen, the famed sculptor, generally sojourned during his stay in Denmark, and where he called many of his immortal works into existence.",,
anderson/elderbush,fantasy,NOUN,"proper_name_candidate,contraction_or_possessive",anderson/elderbush#g754,33,26,754,Granny'—and,granny'—and,NOUN,The people who live in the New Booths [*] have a much better name for her; they call her 'old Granny'—and she it is to whom you are to pay attention.,,
anderson/old_house,fantasy,NOUN,contraction_or_possessive,anderson/old_house#g3176,108,14,3176,hog's,hog's,NOUN,"One could see from the street right into the room with the hog's-leather hanging, which was slashed and torn; and the green grass and leaves about the balcony hung quite wild about the falling beams.",,
anderson/shoes_of_fortune,fantasy,NOUN,"proper_name_candidate,archaic_candidate",anderson/shoes_of_fortune#g5708,233,1,5708,Death,death,NOUN,Death is an electric shock which our heart receives; the freed soul soars upwards on the wings of electricity.,,
anderson/shoes_of_fortune,fantasy,NOUN,archaic_candidate,anderson/shoes_of_fortune#g9790,352,15,9790,bath,bath,NOUN,“I must do something in time: under such circumstances a Russian bath might do me good.,,
